activityCharityCreated,activityId,activityType,campaignGuid.nil,charity.description,charity.id,charity.logoAbsoluteUrl,charity.logoUrl,charity.name,charity.profilePageUrl,charity.registrationNumber,companyAppealId,consumerId,currencyCode,currencySymbol,domain,eventDate,eventId,eventName,expiryDate,fundraisingTarget,grandTotalRaisedExcludingGiftAid,owner,ownerGuid,ownerProfileImageUrls.KeyValueOfstringstring.Key,ownerProfileImageUrls.KeyValueOfstringstring.Value,ownerProfileImageUrls.KeyValueOfstringstring.Key.1,ownerProfileImageUrls.KeyValueOfstringstring.Value.1,pageGuid,pageId,pageShortName,pageSummaryWhat.nil,pageSummaryWhy.nil,rememberedPersonSummary.nil,showEventDate,showExpiryDate,smsCode.nil,status,story,teams.team.teamGuid,teams.team.teamShortName,title,totalEstimatedGiftAid,totalRaisedOffline,totalRaisedOnline,totalRaisedPercentageOfFundraisingTarget,totalRaisedSms,attribution,pageSummary,pageSummaryWhat,pageSummaryWhy,rememberedPersonSummary.id,rememberedPersonSummary.name,rememberedPersonSummary.next.rel,rememberedPersonSummary.next.uri,teams.team.teamShortName.nil,campaignGuid,teams.team.teamGuid.nil,teams.team.teamGuid.nil.1,teams.team.teamShortName.1,Subtext,Link,LinkPath,CountryCode,Highlight,Name,Logo,Type,Score,OwnerFullName,CreatedDate,CharityId,EventId,EventDate,TargetAmount,FundraiserRevenueStreamId,FundraiserPageGuid,ProfileWhat,ProfileWhy,charity_name,searched_charity_id,regno,justgiving_id,cause_area,eaf,give_well_top_2017,give_well_standout_2017,life_you_can_save,ace,givewell_other,ad_hoc_david,date_downloaded
false,6540492,OtherPersonalChallenge,true,"At Macmillan, we will move mountains to help people with cancer live life as fully as they can.

We’re doing whatever it takes. But without your help we can’t support everyone who needs us. To
donate, volunteer, raise money or campaign with us, call 0300 1000 200 or visit macmillan.org.uk",2116,https://images.justgiving.com/image/4cf848f3-9ca5-4f54-9250-216c74d58eb7.png,https://images.justgiving.com/image/4cf848f3-9ca5-4f54-9250-216c74d58eb7.png,Macmillan Cancer Support,http://www.justgiving.com/macmillan,261017,0,75411109,GBP,£,www.justgiving.com,2021-03-01T00:00:00,6540492,Macmillan support MK March miles ,2026-02-24T00:00:00,100,30,Eden Kirby-cook,a11891a9-43b7-442a-8c69-f660806546b6,OriginalSize,https://images.justgiving.com/image/3fa18d56-1ab1-453c-ad43-d494a636b0db.jpg,Size150x150Face,https://images.justgiving.com/image/3fa18d56-1ab1-453c-ad43-d494a636b0db.jpg?template=size150x150face,f97d3673-b103-468e-a216-22b15ab27c25,13827914,Misskick,true,true,true,True,False,true,Active,"<p>Hey! We are the Miss kick  ambassadors! A group of girls from different places in the world with the ambition to make it as a professional footballer !

Miss kick was founded  by Grace Vella,  someone who is very passionate about the game! Grace wants to give young girls the best oppourtunity that she can! Miss kick is the Uk world leading Female Football Brand. 

We have set up this just giving page with the aim of raising money for charities;that are close to our heart. Unfortunately some of us have lost loved ones to these awful illnesses and we want to help stop others from experiencing the loss of someone they love! These charities are: Dementia Support, Macmillian Cancer Support and Darby Rimmer MND Foundation!

Our aim as a team is to reach 150km in March. We will aim to do this by staying active whether this is running,skipping,hopping,jumping,crawling or cycling etc.  If we reach this target then we are hoping to increase it and set another target!

Any donations would be very much appreciated!</p>",0d7402e7-2099-427c-bab2-1a3ca473f536,misskickambassadors,Macmillan cancer support,5,0,30,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macmillan support MK March miles ,https://www.justgiving.com/Misskick,/Misskick,United Kingdom,...<strong>Macmillan</strong> <strong>cancer</strong> <strong>support</strong>...,Macmillan cancer support,//images.justgiving.com/image/681c8cbd-1aa3-4f08-bdd2-5578028acaf7.jpg?template=size120x120&imagetype=frpphoto&trymigrate=true,Fundraiser,69.31271,Eden Kirby-cook,2021-02-24T15:55:34,2116,6540492,2021-03-01T12:00:00,100,13507,f97d3673-b103-468e-a216-22b15ab27c25,NA,NA,Macmillan Cancer Support,2116,261017,2116,NA,NA,NA,NA,NA,NA,NA,9,2021-02-25T07:04:45Z
true,5223437,Running_Marathons,true,"At Macmillan, we will move mountains to help people with cancer live life as fully as they can.

We’re doing whatever it takes. But without your help we can’t support everyone who needs us. To
donate, volunteer, raise money or campaign with us, call 0300 1000 200 or visit macmillan.org.uk",2116,https://images.justgiving.com/image/4cf848f3-9ca5-4f54-9250-216c74d58eb7.png,https://images.justgiving.com/image/4cf848f3-9ca5-4f54-9250-216c74d58eb7.png,Macmillan Cancer Support,http://www.justgiving.com/macmillan,261017,0,75410712,GBP,£,www.justgiving.com,2021-05-23T00:00:00,5223437,London Landmarks Half Marathon 2021,2021-08-23T00:00:00,650,0,Michael Sheehy,6f72b40a-37f6-4b47-aa10-a18a23eaae0c,OriginalSize,NA,Size150x150Face,NA,0fac99fa-cc1f-41aa-a31e-79bd229e5263,13825934,llhmmichaelsheehy,true,true,true,True,False,true,Active,"<p>In May 2021, I will be taking on the huge challenge of running the London Landmarks Half Marathon. The last year has been an unprecedented and incredibly challenging year for the charity sector and the impact of Covid-19 has meant many charities are now struggling to raise the vital income they need to survive. Your support this year is more important than ever so thank you so much in advance for donating whatever you can. It really will make a massive difference.</p>",NA,NA,LLHM For Macmillan Cancer Support,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,London Landmarks Half Marathon 2021,https://www.justgiving.com/llhmmichaelsheehy,/llhmmichaelsheehy,United Kingdom,...LLHM For <strong>Macmillan</strong> <strong>Cancer</strong> <strong>Support</strong>...,LLHM For Macmillan Cancer Support,//images.justgiving.com/image/aea52dd0-66d4-4ee5-8280-ed4fd9288fe2.png?template=size120x120&imagetype=frpphoto&trymigrate=true,Fundraiser,27.017378,Michael Sheehy,2021-02-24T09:54:19,2116,5223437,2021-05-23T00:00:00,650,13507,0fac99fa-cc1f-41aa-a31e-79bd229e5263,NA,NA,Macmillan Cancer Support,2116,261017,2116,NA,NA,NA,NA,NA,NA,NA,9,2021-02-25T07:04:45Z
false,6543496,InMemory,true,"At Macmillan, we will move mountains to help people with cancer live life as fully as they can.

We’re doing whatever it takes. But without your help we can’t support everyone who needs us. To
donate, volunteer, raise money or campaign with us, call 0300 1000 200 or visit macmillan.org.uk",2116,https://images.justgiving.com/image/4cf848f3-9ca5-4f54-9250-216c74d58eb7.png,https://images.justgiving.com/image/4cf848f3-9ca5-4f54-9250-216c74d58eb7.png,Macmillan Cancer Support,http://www.justgiving.com/macmillan,261017,0,75411859,GBP,£,www.justgiving.com,2021-02-24T00:00:00,6543496,In memory of Jean Husnjak,2026-02-24T00:00:00,200,0,Georgia Husnjak,f423c55b-566e-4ebb-98fb-a01cf2c60c4e,OriginalSize,NA,Size150x150Face,NA,ff6a9dba-2a5e-4dee-8e0e-95d071393a77,13827274,Georgia-Husnjak1,NA,NA,NA,True,False,true,Active,"<p class=""p1"" style=""color: rgb(0, 0, 0);""><span class=""s1"">So... me and Jess are holding a virtual cake sale in memory of my grandma who wasn’t only my grandma she was<span class=""Apple-converted-space""> <span class=""Apple-converted-space""> </span></span>my best friend, my everything! And all money made will be going to macmillan to say a massive Thankyou for everything they did for my family whilst going through the hardest time we’ve ever been through, I would like to help even if it’s a small amount, so then other family’s can have the same support we got, through the terrible time,<span class=""Apple-converted-space""> <span class=""Apple-converted-space""> </span></span>I truly believe every little helps and I 100% know my grandma would be so happy and so proud of me for doing this because I know she will be so grateful of the care they gave to her, so please help me out, every little helps even if you only buy one piece of<span class=""Apple-converted-space""> <span class=""Apple-converted-space""> </span></span>cake I will be so grateful for your help... here’s some cakes that we will be doing and ready for the 26th all at £3 a slice<span class=""Apple-converted-space""> </span></span></p><p class=""p2"" style=""color: rgb(0, 0, 0);""><span class=""s1""></span><br/></p><p class=""p1"" style=""color: rgb(0, 0, 0);""><span class=""s1"">•Confetti sponge</span></p><p class=""p1"" style=""color: rgb(0, 0, 0);""><span class=""s1"">•Bueno Brownie</span></p><p class=""p1"" style=""color: rgb(0, 0, 0);""><span class=""s1"">•Choc orange brownie</span></p><p class=""p1"" style=""color: rgb(0, 0, 0);""><span class=""s1"">•flapjack<span class=""Apple-converted-space""> </span></span></p><p class=""p1"" style=""color: rgb(0, 0, 0);""><span class=""s1"">•rocky road<span class=""Apple-converted-space""> </span></span></p><p class=""p1"" style=""color: rgb(0, 0, 0);""><span class=""s1""><span class=""Apple-converted-space""> <span class=""Apple-converted-space""> </span></span>If any other preferences or you want something a little different let us know and we will do our best Thankyou!<span class=""Apple-converted-space""> </span></span></p>",NA,NA,Georgia's Thankyou to Macmillan,0,0,0,0,0,Jean Husnjak,We are holding a virtual cake sale because We want to say Thankyou,We are holding a virtual cake sale,We want to say Thankyou,845522,Jean Husnjak,/b83e9729/v1/fundraising/pagebyid/13827274,remember/845522,NA,NA,NA,NA,NA,In memory of Jean Husnjak,https://www.justgiving.com/Georgia-Husnjak1,/Georgia-Husnjak1,United Kingdom,...Georgia's Thankyou to <strong>Macmillan</strong>...,Georgia's Thankyou to Macmillan,//images.justgiving.com/image/a62b401c-2b6b-4cf9-9028-30b4de42c03b.jpg?template=size120x120&imagetype=frpphoto&trymigrate=true,Fundraiser,26.537815,Georgia Husnjak,2021-02-24T17:51:17,2116,6543496,2021-02-24T17:51:17,200,13507,ff6a9dba-2a5e-4dee-8e0e-95d071393a77,We are holding a virtual cake sale,We want to say Thankyou,Macmillan Cancer Support,2116,261017,2116,NA,NA,NA,NA,NA,NA,NA,9,2021-02-25T07:04:45Z
false,6542229,InMemory,true,"At Macmillan, we will move mountains to help people with cancer live life as fully as they can.

We’re doing whatever it takes. But without your help we can’t support everyone who needs us. To
donate, volunteer, raise money or campaign with us, call 0300 1000 200 or visit macmillan.org.uk",2116,https://images.justgiving.com/image/4cf848f3-9ca5-4f54-9250-216c74d58eb7.png,https://images.justgiving.com/image/4cf848f3-9ca5-4f54-9250-216c74d58eb7.png,Macmillan Cancer Support,http://www.justgiving.com/macmillan,261017,0,64154991,GBP,£,www.justgiving.com,2021-02-24T00:00:00,6542229,In memory of Nicky  Horton,2026-02-24T00:00:00,0,720,Adam Horton,b8e98499-fc71-42ef-af41-e4e9f365b1bf,OriginalSize,NA,Size150x150Face,NA,8e3a9996-4f02-4aa1-bd0a-beb420711606,13826505,Nicky-Horton-1,true,true,NA,True,False,true,Active,<p>Macmillan was there for Nicky from day one. Just minutes after her diagnosis she was supported by the team at St Geroge’s and they were there for her whenever she needed them any time of the day or night. Carol and Sheila have been amazing support for Nicky and her family and have gone over and above to help in any way they could.</p>,3758e6c6-49ee-4e68-8e8c-eafb00abae69,NickyHorton,Nickys Final Fundraiser. Macmillan,172.50,0,720,0,0,Nicky  Horton,NA,NA,NA,845360,Nicky  Horton,/b83e9729/v1/fundraising/pagebyid/13826505,remember/845360,NA,NA,NA,NA,NA,In memory of Nicky  Horton,https://www.justgiving.com/Nicky-Horton-1,/Nicky-Horton-1,United Kingdom,...<strong>Macmillan</strong>...,Nickys Final Fundraiser. Macmillan,//images.justgiving.com/image/3a44f89a-a498-41db-ad2c-0c76a47ec346.jpg?template=size120x120&imagetype=frpphoto&trymigrate=true,Fundraiser,23.79158,Adam Horton,2021-02-24T12:16:22,2116,6542229,2021-02-24T12:16:22,0,13507,8e3a9996-4f02-4aa1-bd0a-beb420711606,NA,NA,Macmillan Cancer Support,2116,261017,2116,NA,NA,NA,NA,NA,NA,NA,9,2021-02-25T07:04:45Z
false,6543805,PersonalWalks,true,"At Macmillan, we will move mountains to help people with cancer live life as fully as they can.

We’re doing whatever it takes. But without your help we can’t support everyone who needs us. To
donate, volunteer, raise money or campaign with us, call 0300 1000 200 or visit macmillan.org.uk",2116,https://images.justgiving.com/image/4cf848f3-9ca5-4f54-9250-216c74d58eb7.png,https://images.justgiving.com/image/4cf848f3-9ca5-4f54-9250-216c74d58eb7.png,Macmillan Cancer Support,http://www.justgiving.com/macmillan,261017,0,32201698,GBP,£,www.justgiving.com,2021-02-24T00:00:00,6543805,Step it Up for MacMillan,2022-08-24T00:00:00,500,0,tracey ritchie,8846c698-6742-4bdb-b18b-948281dbd264,OriginalSize,NA,Size150x150Face,NA,b592c7d4-168e-426b-a0d8-a6c7ae370ac6,13827787,tracey-ritchie5,NA,NA,true,True,False,true,Active,"<p>Boots Team Scotland are striving to walk 10,000 steps per day in March to raise much needed funds for MacMillan. Boots and MacMillan have been in partnership for 12 years, as a team we are passionate about making a positive contribution to people affected by or living with cancer.</p><p>Thanks for supporting our fundraising.  At Macmillan, they give people with cancer everything they’ve got. If you’re diagnosed, your worries are their worries. They’re doing whatever it takes. But without your help they can’t support everyone who needs help. Donating through JustGiving is simple, fast and secure. Your details are safe with JustGiving - they'll never sell them or send unwanted emails. Once you donate, they'll send your money directly to the charity. So it's the most efficient way to donate - saving time and cutting costs.</p>",18dce1ad-4e28-4ab6-b78c-a25fcccaaec6,NA,"Boots Team Scotland 10,000 Steps per Day Challenge",0,0,0,0,0,NA,Boots Team Scotland raising funds because we are passionate about making a difference.,Boots Team Scotland raising funds,we are passionate about making a difference.,NA,NA,NA,NA,true,NA,NA,NA,NA,Step it Up for MacMillan,https://www.justgiving.com/tracey-ritchie5,/tracey-ritchie5,United Kingdom,,"Boots Team Scotland 10,000 Steps per Day Challenge",//images.justgiving.com/image/1f84e3e3-69fe-4bc9-8998-c895d783a76e.png?template=size120x120&imagetype=frpphoto&trymigrate=true,Fundraiser,22.784935,tracey ritchie,2021-02-24T17:51:09,2116,6543805,2021-02-24T17:51:09,500,13507,b592c7d4-168e-426b-a0d8-a6c7ae370ac6,Boots Team Scotland raising funds,we are passionate about making a difference.,Macmillan Cancer Support,2116,261017,2116,NA,NA,NA,NA,NA,NA,NA,9,2021-02-25T07:04:45Z
true,5986235,Walks,true,"At Macmillan, we will move mountains to help people with cancer live life as fully as they can.

We’re doing whatever it takes. But without your help we can’t support everyone who needs us. To
donate, volunteer, raise money or campaign with us, call 0300 1000 200 or visit macmillan.org.uk",2116,https://images.justgiving.com/image/4cf848f3-9ca5-4f54-9250-216c74d58eb7.png,https://images.justgiving.com/image/4cf848f3-9ca5-4f54-9250-216c74d58eb7.png,Macmillan Cancer Support,http://www.justgiving.com/macmillan,261017,0,53512478,GBP,£,www.justgiving.com,2021-07-17T00:00:00,5986235,Northumberland Coast Mighty Hike 2021,2021-10-17T00:00:00,250,130,Tom Fleming,ef1cfe7a-952c-47ff-8b72-acf16fc31599,OriginalSize,https://images.justgiving.com/image/44ef0863-8578-4128-8259-ad077292e9c0.jpg,Size150x150Face,https://images.justgiving.com/image/44ef0863-8578-4128-8259-ad077292e9c0.jpg?template=size150x150face,e030514a-aa41-416a-83b8-e4631e2161d5,13825455,DCMVC-Tom,NA,NA,true,True,False,true,Active,"<p>I’m walking in memory of my brother Jim, who passed away in November 2020 and my father-in-law Art, who passed away in July 2020. Both as a result of cancer..</p><p>I’ll be walking with some good mates from Derbyshire Community Male Voice Choir.</p><p>Due to the Covid restrictions, the choir, Derbyshire Community Male Voice Choir are unable to raise funds for charity in their usual way by performing, so a group of us have decided to take on the challenge of the Macmillan Mighty hike along the Northumberland coast and who knows we may break into a song occasionally!!This is our alternative way of raising funds to assist Macmillan Cancer Support in the work that they do</p>",e5e322bd-cbc6-4a8c-9f89-205b5cfd9427,DCMVC-WANDERERS,Tom - Mighty Hike for Macmillan Cancer Support page,0,0,130,52,0,"Mark Kohrs, Chris Hare, Ian Ware and Jim Brown",Macmillan Mighty  Hike (26 miles) on 17 July because Of the great support my brother Jim received,Macmillan Mighty  Hike (26 miles) on 17 July,Of the great support my brother Jim received,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northumberland Coast Mighty Hike 2021,https://www.justgiving.com/DCMVC-Tom,/DCMVC-Tom,United Kingdom,...Tom - Mighty Hike for <strong>Macmillan</strong> <strong>Cancer</strong> <strong>Support</strong> page...,Tom - Mighty Hike for Macmillan Cancer Support page,//images.justgiving.com/image/8f5c15b0-e353-47df-99ba-62afbd3a063c.jpg?template=size120x120&imagetype=frpphoto&trymigrate=true,Fundraiser,20.616846,Tom Fleming,2021-02-24T07:06:00,2116,5986235,2021-07-17T00:00:00,250,13507,e030514a-aa41-416a-83b8-e4631e2161d5,Macmillan Mighty  Hike (26 miles) on 17 July,Of the great support my brother Jim received,Macmillan Cancer Support,2116,261017,2116,NA,NA,NA,NA,NA,NA,NA,9,2021-02-25T07:04:45Z
true,5963129,Running_Marathons,true,"At Macmillan, we will move mountains to help people with cancer live life as fully as they can.

We’re doing whatever it takes. But without your help we can’t support everyone who needs us. To
donate, volunteer, raise money or campaign with us, call 0300 1000 200 or visit macmillan.org.uk",2116,https://images.justgiving.com/image/4cf848f3-9ca5-4f54-9250-216c74d58eb7.png,https://images.justgiving.com/image/4cf848f3-9ca5-4f54-9250-216c74d58eb7.png,Macmillan Cancer Support,http://www.justgiving.com/macmillan,261017,0,67759855,GBP,£,www.justgiving.com,2021-06-27T00:00:00,5963129,Brighton Half Marathon 2021,2021-09-27T00:00:00,250,0,James Hull,674e1aad-2233-4c5c-a60d-54f03ea49e5b,OriginalSize,NA,Size150x150Face,NA,49e174ad-a4ca-47ec-aa86-d25db0ebd46e,13828807,Support-with-cancer-is-everything,true,true,true,True,False,true,Active,"Thanks for supporting my fundraising.  At Macmillan, we give people with cancer everything we’ve got. If you’re diagnosed, your worries are our worries. We’re doing whatever it takes. But without your help we can’t support everyone who needs us.

Donating through JustGiving is simple, fast and secure. Your details are safe with JustGiving - they'll never sell them or send unwanted emails. Once you donate, they'll send your money directly to the charity. So it's the most efficient way to donate - saving time and cutting costs.",NA,NA,Support with cancer is everything ,0,0,0,0,0,Brighton Half Marathon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brighton Half Marathon 2021,https://www.justgiving.com/Support-with-cancer-is-everything,/Support-with-cancer-is-everything,United Kingdom,...<strong>Support</strong> with <strong>cancer</strong> is everything...,Support with cancer is everything ,//images.justgiving.com/image/2733aa5e-8000-4ff0-8c9f-3c9e4dcd9e78.png?template=size120x120&imagetype=frpphoto&trymigrate=true,Fundraiser,18.597782,James Hull,2021-02-24T19:19:44,2116,5963129,2021-06-27T00:00:00,250,13507,49e174ad-a4ca-47ec-aa86-d25db0ebd46e,NA,NA,Macmillan Cancer Support,2116,261017,2116,NA,NA,NA,NA,NA,NA,NA,9,2021-02-25T07:04:45Z
false,6543828,PersonalRunning_Marathons,true,"At Macmillan, we will move mountains to help people with cancer live life as fully as they can.

We’re doing whatever it takes. But without your help we can’t support everyone who needs us. To
donate, volunteer, raise money or campaign with us, call 0300 1000 200 or visit macmillan.org.uk",2116,https://images.justgiving.com/image/4cf848f3-9ca5-4f54-9250-216c74d58eb7.png,https://images.justgiving.com/image/4cf848f3-9ca5-4f54-9250-216c74d58eb7.png,Macmillan Cancer Support,http://www.justgiving.com/macmillan,261017,0,18762216,GBP,£,www.justgiving.com,2021-02-24T00:00:00,6543828,Marathon March ,2022-08-24T00:00:00,250,20,rebecca parker,47001113-a2e4-4e77-a267-53be45f0fe5c,OriginalSize,https://images.justgiving.com/image/4fca442f-13a8-42c5-9653-297301dd8d00.jpg,Size150x150Face,https://images.justgiving.com/image/4fca442f-13a8-42c5-9653-297301dd8d00.jpg?template=size150x150face,dc2440ce-2e49-4e3d-8c4e-600aeb4883e7,13828435,BecsParker,NA,NA,NA,True,False,true,Active,"<p>Thank you to everyone who has helped me raise money in the past. This time I have got my dad involved and we are going to run walk or cycle a marathon each week in March to raise money for Macmillan. I’ll be posting updates and doing lives to show you how we are doing and then pushing each other</p><p><span>Thank you so much for the support </span></p><p><span><br/></span></p><p><span>My aunt I miss her &#128156;</span></p><p><span><br/></span></p><p><span>Thanks for supporting my fundraising.  At Macmillan, we give people with cancer everything we’ve got. If you’re diagnosed, your worries are our worries. We’re doing whatever it takes. But without your help we can’t support everyone who needs us.Donating through JustGiving is simple, fast and secure. Your details are safe with JustGiving - they'll never sell them or send unwanted emails. Once you donate, they'll send your money directly to the charity. So it's the most efficient way to donate - saving time and cutting costs.</span><br/></p>",b9f1f4dc-60fd-43ba-82a7-e9c55f609cd6,NA,Father & Daughter Marathon March,5,0,20,8,0,NA,Me and Popz are doing a marathon a week in march because We want to raise money in memory of my aunt,Me and Popz are doing a marathon a week in march,We want to raise money in memory of my aunt,845590,Rachel Eccles,/b83e9729/v1/fundraising/pagebyid/13828435,remember/845590,true,NA,NA,NA,NA,Marathon March ,https://www.justgiving.com/BecsParker,/BecsParker,United Kingdom,,Father & Daughter Marathon March,//images.justgiving.com/image/da66e7a9-3ba5-427f-8b19-aa5cadf98baa.jpg?template=size120x120&imagetype=frpphoto&trymigrate=true,Fundraiser,15.545504,rebecca parker,2021-02-24T20:26:01,2116,6543828,2021-02-24T20:26:01,250,13507,dc2440ce-2e49-4e3d-8c4e-600aeb4883e7,Me and Popz are doing a marathon a week in march,We want to raise money in memory of my aunt,Macmillan Cancer Support,2116,261017,2116,NA,NA,NA,NA,NA,NA,NA,9,2021-02-25T07:04:45Z
false,6542020,InMemory,true,"At Macmillan, we will move mountains to help people with cancer live life as fully as they can.

We’re doing whatever it takes. But without your help we can’t support everyone who needs us. To
donate, volunteer, raise money or campaign with us, call 0300 1000 200 or visit macmillan.org.uk",2116,https://images.justgiving.com/image/4cf848f3-9ca5-4f54-9250-216c74d58eb7.png,https://images.justgiving.com/image/4cf848f3-9ca5-4f54-9250-216c74d58eb7.png,Macmillan Cancer Support,http://www.justgiving.com/macmillan,261017,0,43393655,GBP,£,www.justgiving.com,2021-02-24T00:00:00,6542020,In memory of Joan Parker,2026-02-24T00:00:00,0,0,Geg Parker,fdcb8167-62d3-48fd-b2aa-a55708685446,OriginalSize,NA,Size150x150Face,NA,de0ad4b7-5add-435d-af13-d2784437670a,13825135,ForJoan1,true,true,NA,True,False,true,Active,"<p>Thanks for taking the time to visit my JustGiving page.</p><p>Donating through JustGiving is simple, fast and totally secure. Your details are safe with JustGiving - they'll never sell them on or send unwanted emails. Once you donate, they'll send your money directly to the charity. So it's the most efficient way to donate - saving time and cutting costs for the charity.</p>",NA,NA,Geg's page,0,0,0,0,0,Joan Parker,NA,NA,NA,845289,Joan Parker,/b83e9729/v1/fundraising/pagebyid/13825135,remember/845289,NA,NA,NA,NA,NA,In memory of Joan Parker,https://www.justgiving.com/ForJoan1,/ForJoan1,United Kingdom,,Geg's page,//images.justgiving.com/image/Inmem_web.jpg?template=size120x120&imagetype=frpphoto&trymigrate=true&sourcepath=Stock,Fundraiser,15.545504,Geg Parker,2021-02-24T09:45:44,2116,6542020,2021-02-24T09:45:44,0,13507,de0ad4b7-5add-435d-af13-d2784437670a,NA,NA,Macmillan Cancer Support,2116,261017,2116,NA,NA,NA,NA,NA,NA,NA,9,2021-02-25T07:04:45Z
false,6542479,OtherPersonalChallenge,true,"At Macmillan, we will move mountains to help people with cancer live life as fully as they can.

We’re doing whatever it takes. But without your help we can’t support everyone who needs us. To
donate, volunteer, raise money or campaign with us, call 0300 1000 200 or visit macmillan.org.uk",2116,https://images.justgiving.com/image/4cf848f3-9ca5-4f54-9250-216c74d58eb7.png,https://images.justgiving.com/image/4cf848f3-9ca5-4f54-9250-216c74d58eb7.png,Macmillan Cancer Support,http://www.justgiving.com/macmillan,261017,0,63950424,GBP,£,www.justgiving.com,2021-03-01T00:00:00,6542479,March Mud Madness,2026-02-24T00:00:00,0,95,Don Madge,5e62c893-67a1-4cd9-9294-fd2b10c10033,OriginalSize,NA,Size150x150Face,NA,1be179ee-a19d-45df-bd4e-a1e7c4ad5c83,13824956,Don-Madge,NA,NA,NA,True,False,true,Active,"<p>Hi all,<br/>In memory of my wife Diane Madge who sadly passed away in April 2020 with cancer, I have decided to do something crazy to try and raise funds for Macmillan Cancer support.  On the 1st March 2021 I will commence the Concept 2 March Mud Challenge.  This will consist of 25no. 5k Rows in 25no consecutive days.  This is just a small way for me to say thank you for the support that both Diane and I received during this terrible time.  If you feel it appropriate, please donate what you can.  I have Registered this event with Concept 2 and each row will be officially logged on the Concept 2 website logbook</p>",NA,NA,Don's March Mud Madness,23.75,0,95,0,0,NA,Rowing In Memory Of Diane because I need to,Rowing In Memory Of Diane,I need to,845300,Diane Madge,/b83e9729/v1/fundraising/pagebyid/13824956,remember/845300,NA,NA,NA,NA,NA,March Mud Madness,https://www.justgiving.com/Don-Madge,/Don-Madge,United Kingdom,,Don's March Mud Madness,//images.justgiving.com/image/0057fae1-7721-466b-8457-f854bfb0bcbe.png?template=size120x120&imagetype=frpphoto&trymigrate=true,Fundraiser,15.545504,Don Madge,2021-02-24T10:02:49,2116,6542479,2021-03-01T00:00:00,0,13507,1be179ee-a19d-45df-bd4e-a1e7c4ad5c83,Rowing In Memory Of Diane,I need to,Macmillan Cancer Support,2116,261017,2116,NA,NA,NA,NA,NA,NA,NA,9,2021-02-25T07:04:45Z
