justgiving_id,charity_registration_id,charity_name,charity_url
,1115297,,
,1036733,,
2357,1089464,Cancer Research UK,https://www.justgiving.com/cancerresearchuk
18570,213890,Save the Children,https://www.justgiving.com/savethechildren
,1115413,,
179,207544,Sightsavers,https://www.justgiving.com/sightsavers
,209603,,
2116,261017,Macmillan Cancer Support,https://www.justgiving.com/macmillan
13441,202918,Oxfam,https://www.justgiving.com/oxfam
11033,220949,The British Red Cross Society,https://www.justgiving.com/redcross
2013,216401,NSPCC,https://www.justgiving.com/nspcc
182066,219099,RSPCA (England and Wales),https://www.justgiving.com/rspcahq
11076,1105851,Christian Aid,https://www.justgiving.com/christianaid_
,1129044,,
15416,207076,RSPB,https://www.justgiving.com/rspb
18963,214779,The Salvation Army,https://www.justgiving.com/salvationarmy
,1131066,,
,1021457,,
183092,225971,British Heart Foundation,https://www.justgiving.com/britishheartfoundation
,297241,,
181813,1072612,Unicef UK,https://www.justgiving.com/unicef
,1116657,,
,229476,,
50,207994,Marie Curie,https://www.justgiving.com/mariecurie
114908,1062638,Disasters Emergency Committee,https://www.justgiving.com/dec
,1127514,,
183560,205846,National Trust,https://www.justgiving.com/nationaltrust
156,226227,RNIB - Royal National Institute of Blind People,https://www.justgiving.com/rnib
20851,219279,The Royal British Legion,https://www.justgiving.com/britishlegion
40885,265464,Tearfund,https://www.justgiving.com/tearfund
55,208217,PDSA,https://www.justgiving.com/pdsa
2751568,1127929,Stonyhurst College,https://www.justgiving.com/stonyhurst
52893,285908,World Vision UK,https://www.justgiving.com/worldvisionuk
181822,326568,Comic Relief,https://www.justgiving.com/comicrelief1
,207043,,
,1123956,,
24267,227523,Dogs Trust,https://www.justgiving.com/dogstrust
11088,274467,ActionAid,https://www.justgiving.com/actionaid
2261,209617,Guide Dogs,https://www.justgiving.com/guidedogs
,211775,,
70625,313757,Voluntary Service Overseas,https://www.justgiving.com/vso
,234714,,
11378,328158,Islamic Relief,https://www.justgiving.com/islamicrelief
11421,276035,Plan International UK,https://www.justgiving.com/planuk
11496,1128267,Age UK,https://www.justgiving.com/ageuk
,1079309,,
2344,1081247,WWF-UK,https://www.justgiving.com/wwf
,1123636,,
88,216250,Barnardo's,https://www.justgiving.com/barnardos
,235825,,
,209631,,
2353734,251549,Porth Elim Church,https://www.justgiving.com/elim-church
,1079666,,
,285776,,
181821,802052,BBC Children in Need,https://www.justgiving.com/childreninneed
183396,1120920,Help for Heroes,https://www.justgiving.com/helpforheroes
,1020101,,
54697,288701,WaterAid,https://www.justgiving.com/wateraid
,290859,,
,242451,,
,225838,,
,1034245,,
,298582,,
2956214,1086915,Youth Sport Trust UK,https://www.justgiving.com/youthsporttrustuk
2201,296645,Alzheimer's Society,https://www.justgiving.com/alzheimerssoc
2698094,212481,RSC,https://www.justgiving.com/royalshakespearecompany
,1133373,,
13792,203644,Cats Protection,https://www.justgiving.com/cats
61216,298909,Southbank Centre,https://www.justgiving.com/southbankcentre
,1091043,,
,224223,,
73,263710,Shelter,https://www.justgiving.com/shelter
30309,241083,The Diocese of London,https://www.justgiving.com/ldf
,327114,,
,295224,,
,1134907,,
54076,287780,BFI,https://www.justgiving.com/britishfilminstitute
40550,264818,The Donkey Sanctuary,https://www.justgiving.com/donkeysanctuary
182015,802559,Jewish Care,https://www.justgiving.com/jewishcare
128190,1077216,Compassion UK,https://www.justgiving.com/compassionuk
184169,233699,St Joseph's Pastoral Centre,https://www.justgiving.com/sjpc
,1109476,,
253,1026588,Medecins Sans Frontieres / Doctors Without Borders (MSF),https://www.justgiving.com/msfuk
183439,1132208,The Methodist Church World Mission Fund,https://www.justgiving.com/mcfworldmission
166,221124,The Children's Society,https://www.justgiving.com/childrenssociety
187556,1060579,Liverpool Hope University (Global Hope),https://www.justgiving.com/liverpoolhope
183,207711,Versus Arthritis,https://www.justgiving.com/versusarthritis
19172,215199,Diabetes UK,https://www.justgiving.com/diabetesuk
11135,1081849,World Animal Protection,https://www.justgiving.com/worldanimalprotection
11265,1001349,Samaritan's Purse,https://www.justgiving.com/samaritans-purse
,207495,,
2074,224392,Blue Cross,https://www.justgiving.com/bluecrossanimal
,700520,,
,1065995,,
,216647,,
,1053902,,
190401,281942,Relief Chest Scheme - The Grand Charity,https://www.justgiving.com/grandcharity
,1125521,,
,294230,,
,235468,,
,1089625,,
186791,1001813,The HALO Trust,https://www.justgiving.com/halotrust
3248196,257210,English National Opera,https://www.justgiving.com/e-nationalopera
12439,1075032,Youth Music,https://www.justgiving.com/Youth-Music
,1082216,,
182068,1096479,ShelterBox,https://www.justgiving.com/shelterbox
188968,511726,Opera North,https://www.justgiving.com/operanorth
,1074930,,
187915,242552,Radlett Synagogue,https://www.justgiving.com/radlettsynagogue
11191,294344,Woodland Trust,https://www.justgiving.com/woodlandtrust
,800058,,
130521,1079675,The Prince's Trust,https://www.justgiving.com/theprincestrust
,1046769,,
,1121325,,
,1102949,,
2443640,249505,"St Mary the Virgin Church ,South benfleet",https://www.justgiving.com/920ae61c81
,528384,,
185736,247954,Oxford Diocesan Board of Finance,https://www.justgiving.com/odbf
,249678,,
,1105278,,
76,211015,Stroke Association,https://www.justgiving.com/stroke
,326839,,
11233,258197,Parkinson’s UK,https://www.justgiving.com/parkinsons
19588,216227,Blind Veterans UK,https://www.justgiving.com/blindveterans
,288467,,
,306087,,
11205,1077265,St John Ambulance,https://www.justgiving.com/sja
145664,1095197,The Royal Marsden Cancer Charity,https://www.justgiving.com/rmcc
,298175,,
2182,216032,Blood Cancer UK,https://www.justgiving.com/bloodcanceruk
2183,1092236,"Concern Worldwide, UK",https://www.justgiving.com/concernworldwide
,1024806,,
,309267,,
,1069380,,
,210183,,
752742,1107328,Manchester Airport,https://www.justgiving.com/MAG-clic-comicreleif
,1007102,,
148384,1097940,Action for Children,https://www.justgiving.com/actionforchildren
,294540,,
,1045587,,
,312715,,
,234216,,
,1063906,,
11232,1016532,The National Deaf Children's Society,https://www.justgiving.com/ndcs
,1045672,,
189531,1100277,The Rugby Football Foundation,https://www.justgiving.com/rfufoundation
177,208231,Scope,https://www.justgiving.com/scope
,1076356,,
187907,1107827,Lichfield Diocesan Board of Finance,https://www.justgiving.com/lichfielddbf
309,207720,RNID,https://www.justgiving.com/RNID
112719,1060078,United Jewish Israel Appeal,https://www.justgiving.com/ujia
,1120522,,
,243134,,
,1080999,,
,232709,,
,246871,,
,1104484,,
136403,1085760,Brooke,https://www.justgiving.com/thebrooke
182087,1105056,Muslim Hands,https://www.justgiving.com/muslimhands
189608,250037,Salford Diocesan Lourdes Pilgrimage,https://www.justgiving.com/dioceseofsalfors
,1097482,,
,211659,,
105857,1052076,Sue Ryder,https://www.justgiving.com/sueryder
,1110346,,
66,1082947,Crisis,https://www.justgiving.com/crisis
2366,1049751,The Christie,https://www.justgiving.com/christies
,1095623,,
2254,1081009,The Royal Air Force Benevolent Fund,https://www.justgiving.com/rafbenev
,1105069,,
,1125383,,
,1062636,,
,700370,,
,299081,,
182481,1114748,The Smile Train,https://www.justgiving.com/smiletrainuk
322,218186,Leonard Cheshire Disability,https://www.justgiving.com/cheshire
,1058226,,
,215174,,
,1077961,,
,227848,,
99181,1043985,UCKG HelpCentre,https://www.justgiving.com/uckg
11369,222377,Mencap,https://www.justgiving.com/mencap
2157,1005541,PROSTATE CANCER UK,https://www.justgiving.com/prostatecancer
,291834,,
,309998,,
100,289868,Sense,https://www.justgiving.com/sense
745342,249276,"St Gabriels Church, Popley",https://www.justgiving.com/stgabriels-pcc
,1112540,,
,248887,,
,1079020,,
,249798,,
,1127397,,
2262,1029161,CAMFED,https://www.justgiving.com/camfed
,1113016,,
,293072,,
,1059247,,
,1120199,,
2744060,248968,Tarvin PCC,https://www.justgiving.com/tarvinpcc
134219,1095322,Ark,https://www.justgiving.com/arkonline
105531,1051681,Amnesty International UK,https://www.justgiving.com/amnesty
188343,298405,Children with Cancer UK,https://www.justgiving.com/CWCUK
2750964,240833,Salisbury DBF,https://www.justgiving.com/salisburydbf
116650,1064598,Mission Aviation Fellowship UK,https://www.justgiving.com/mafuk
,244976,,
311,294354,Motor Neurone Disease Association,https://www.justgiving.com/mndassoc
,259140,,
2364517,306101,5th Crosby Scout Group,https://www.justgiving.com/5thcrosbyscouts
185295,249424,Manchester Diocesan Board of Finance,https://www.justgiving.com/mandbf
111821,1059050,Norwood,https://www.justgiving.com/norwood
,248245,,
,1031031,,
2658775,1092935,Barnabas Fund,https://www.justgiving.com/barnabasfund
,263960,,
,249339,,
,293232,,
,1061012,,
,1120102,,
,1127725,,
2923923,252878,The Diocese of Arundel & Brighton,https://www.justgiving.com/abdiocese
,309144,,
,1039457,,
,297540,,
2170,206394,Battersea,https://www.justgiving.com/battersea
188634,249398,Bath & Wells Diocesan Board of Finance,https://www.justgiving.com/bathwells
,230791,,
34106,249740,Diocese of Liverpool,https://www.justgiving.com/liverpooldiocesanbf
26598,232759,Bible Society,https://www.justgiving.com/biblesociety
,1050537,,
,211645,,
,1008196,,
,307992,,
,231323,,
130370,1079501,GODTV,https://www.justgiving.com/angel-foundation
,1093434,,
,235686,,
,247647,,
,1135111,,
2298,247257,Practical Action,https://www.justgiving.com/practicalaction
15548,207316,Nightingale Hammerson,https://www.justgiving.com/nightingalehammerson
,218084,,
188023,249318,Diocese of Norwich,https://www.justgiving.com/dioceseofnorwich
589137,803007,City Lit,https://www.justgiving.com/city-lit
188376,1120355,Hillsong,https://www.justgiving.com/hillsong
,1068298,,
27194,234092,Brentwood Roman Catholic Diocesan Trust,https://www.justgiving.com/brcdt
,234025,,
,249355,,
,1120090,,
11484,506120,"LOROS, the Leicestershire and Rutland Hospice",https://www.justgiving.com/loros
3174330,214005,English National Ballet,https://www.justgiving.com/balletuk
,244708,,
,1102114,,
,232391,,
,273425,,
73223,1003314,Children's Hospice South West,https://www.justgiving.com/chsw
114842,1062559,Teenage Cancer Trust,https://www.justgiving.com/teenagecancertrust
11206,210667,St Christopher's Hospice,https://www.justgiving.com/stchristophers
16823,210119,Royal Star & Garter,https://www.justgiving.com/starandgarter
,225922,,
,249403,,
,266220,,
,1048771,,
113059,1060458,Wales Millennium Centre,https://www.justgiving.com/wmc
11063,206002,Combat Stress,https://www.justgiving.com/combatstress
,312819,,
,251988,,
300,219830,Mind,https://www.justgiving.com/mind
,249359,,
182938,256789,St Barnabas House,https://www.justgiving.com/stbarnabashouse
,1127633,,
33970,249404,Diocese of Leeds,https://www.justgiving.com/DioceseofLeeds
11151,209259,"Variety, the Children's Charity",https://www.justgiving.com/varietyGB
,1083994,,
226,269425,National Autistic Society,https://www.justgiving.com/nationalautistic
180,292506,CARE International UK,https://www.justgiving.com/care
11372,1083995,MHA,https://www.justgiving.com/mha
405831,1017658,Roadchef Charity of the Year,https://www.justgiving.com/roadchefcharityoftheyear
,257318,,
,327354,,
