regno,charity_name,legacy_income,voluntary_income,total_income,total_expenditure
209131,THE BRITISH COUNCIL,0,0,704530000,708083000
1036733,THE ARTS COUNCIL OF ENGLAND,0,452964000,604204000,621112000
205533,NUFFIELD HEALTH,200000,200000,554600000,552000000
1115297,THE GAVI FUND AFFILIATE,0,519741476,520252270,557409341
1089464,CANCER RESEARCH UK,157399000,362756000,514946000,466968000
205846,THE NATIONAL TRUST FOR PLACES OF HISTORIC INTEREST OR NATURAL BEAUTY,50316000,69986000,405634000,406145000
268369,THE CHARITIES AID FOUNDATION,500000,3641000,377433000,307838000
202918,OXFAM,13300000,125600000,318000000,294800000
213890,THE SAVE THE CHILDREN FUND,14737000,280109000,291472000,266552000
1052183,ANCHOR TRUST,0,0,288763000,269522000
264289,CITB-CONSTRUCTIONSKILLS,0,0,279012000,253680000
1115413,INTERNATIONAL FINANCE FACILITY FOR IMMUNISATION COMPANY,0,260501473,264171650,352240952
216250,BARNARDO'S,20925000,44475000,234323000,232762000
210183,WELLCOME TRUST,0,15728634,230347899,769378837
225971,BRITISH HEART FOUNDATION,52375000,91036000,213762000,203104000
313999,UNITED CHURCH SCHOOLS FOUNDATION LTD,0,580000,208240000,195425000
220949,THE BRITISH RED CROSS SOCIETY,22100000,119900000,205700000,199200000
306983,THE GIRLS' DAY SCHOOL TRUST,0,2435000,202732000,188755000
1097940,ACTION FOR CHILDREN,4270000,15566000,194662000,199333000
222377,ROYAL MENCAP SOCIETY,5626000,11389000,194199000,188632000
1081028,UFI CHARITABLE TRUST,0,0,191608917,181550951
207544,ROYAL COMMONWEALTH SOCIETY FOR THE BLIND,7318000,169357000,173471000,173002000
209603,THE ROYAL NATIONAL LIFEBOAT INSTITUTION,90600323,140050194,163569163,155276387
1128267,AGE UK,22258000,48294000,160665000,159896000
218186,LEONARD CHESHIRE DISABILITY,5349000,11649000,155026000,160377000
1104951,ST ANDREW'S HEALTHCARE,0,12000,154495000,132497000
216401,THE NATIONAL SOCIETY FOR THE PREVENTION OF CRUELTY TO CHILDREN,20338000,116499000,152210000,157404000
1073334,ASSESSMENT AND QUALIFICATIONS ALLIANCE,0,0,151906000,145106000
270901,CFBT EDUCATION TRUST,0,0,150647000,153251000
1123636,LEARNING AND SKILLS IMPROVEMENT SERVICE,0,44960000,147128000,147103000
214779,THE SALVATION ARMY,40720000,96375000,144717000,150147000
1096270,THE WOODARD CORPORATION,0,2234166,139411514,133792736
1093277,UNITED LEARNING TRUST,NA,NA,138277000,129937000
226227,THE ROYAL NATIONAL INSTITUTE OF BLIND PEOPLE,38069000,68302000,135145000,130150000
261017,MACMILLAN CANCER SUPPORT,48084000,127393000,133605000,132949000
207994,MARIE CURIE CANCER CARE,24876000,77372000,131475000,127629000
265543,MARIE STOPES INTERNATIONAL,0,2246000,129860000,125947000
1083994,MHA CARE GROUP,4184000,6878000,123349000,108113000
207076,ROYAL SOCIETY FOR THE PROTECTION OF BIRDS,27922000,96674000,121928000,104285000
312832,CITY AND GUILDS OF LONDON INSTITUTE,0,36991,118259172,110819992
1111608,ARK SCHOOLS,NA,NA,117465000,49616000
208076,THE GUINNESS TRUST,0,0,115299000,111484000
219099,ROYAL SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,59196000,101045000,115288000,122564000
219279,THE ROYAL BRITISH LEGION,9444000,66450000,115235000,114486000
206061,PEABODY TRUST,0,0,114833000,92727000
211136,TRUSTEES OF THE LONDON CLINIC LIMITED,0,0,114702000,97286000
1098136,CANTERBURY CHRIST CHURCH UNIVERSITY,19269,494766,113392000,108569000
211775,ROYAL OPERA HOUSE COVENT GARDEN LIMITED,320000,52326000,111447000,107154000
1083995,METHODIST HOMES,4184000,6703000,111125000,98204000
1084952,EAST THAMES GROUP LIMITED,0,0,107434000,89242000
1107623,WAKEFIELD AND DISTRICT HOUSING LIMITED,0,0,106586000,154959000
1105851,CHRISTIAN AID,9585000,99397000,104621000,95859000
208231,SCOPE,4993000,14205000,101614000,94928000
1089278,GENERAL MEDICAL COUNCIL,0,0,101339000,87342000
1120150,HARRIS FEDERATION OF SOUTH LONDON SCHOOLS,NA,NA,99733000,66412000
1129044,THE CUP TRUST,0,97590164,97590164,97451195
287785,THE SHAW TRUST LIMITED,0,2460000,96642000,93314000
215174,THE SALVATION ARMY SOCIAL WORK TRUST,1656000,11638000,95554000,88730000
519996,COMMUNITY INTEGRATED CARE,0,19000,94660000,93878000
1021457,GENOME RESEARCH LIMITED,0,92412000,93920000,97126000
1131066,BHP BILLITON SUSTAINABLE COMMUNITIES,0,92992200,92995521,1331781
296729,SPECIALIST SCHOOLS AND ACADEMIES TRUST,0,1216000,91013000,88754000
1117185,ADVENTURE CAPITAL FUND,0,0,90922000,32707000
269425,THE NATIONAL AUTISTIC SOCIETY,90000,6823000,88310000,89756000
1048355,THE ORDERS OF ST JOHN CARE TRUST,0,20000,87968000,83919000
1077265,THE PRIORY OF ENGLAND AND THE ISLANDS OF THE MOST VENERABLE ORDER OF THE HOSPITAL OF ST. JOHN OF JERUSALEM,3296000,16165000,87472000,93658000
208217,THE PEOPLE'S DISPENSARY FOR SICK ANIMALS,39281000,61813000,84477848,85592743
